SUM of impact coefficient,species,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
focal tree,alternate-leaf dogwood,american elm,ash spp,basswood,big tooth aspen,birch spp,bitternut hickory,black ash,black cherry,black walnut,box elder,buckthorn,butternut,cedar spp,elderberry,elm spp,green ash,hickory spp,honeysuckle,ironwood,lilac,malus,paper birch,pear spp,pin cherry,red cedar,red maple,serviceberry,shagbark hickory,slippery elm,sugar maple,white ash,white cedar,white oak,yellow birch,Grand Total,ignore,gps_n,gps_w,slope,aspect,height_ft,seedling_or_adult,dbh_cm,adult_crown_class,adult_dead_or_alive,dead_adult_base_epicormics,dead_adult_trunk_epicormics,dead_adult_canker_presence,dead_adult_canker_base,dead_adult_canker_1st9ft,dead_adult_canker_1stlivebranch,dead_adult_girdle,producing_seed,adult_percent_live_canopy,live_adult_base_epicormics,live_adult_trunk_epicormics,live_adult_canker_presence,live_adult_callus_presence,live_adult_canker_base,live_adult_canker_1st9ft,live_adult_canker_1stlivebranch,live_adult_girdle,live_adult_purdue_canker_rating,live_adult_purdue_canopy_ranking,densi_n,densi_e,densi_s,densi_w,basal_diameter_mm,seedling_damage,seedling_previous_stem_count,seedling_germ_yr,seedling_dead_or_alive,dead_seedling_canker_presence,seedling_percent_live_canopy,live_seedling_canker_presence,live_seedling_callus_presence,seedling_canker_base,seedling_canker_stem,seedling_girdle,seed_count,seed_bunch_size,terminal_bud,leaf_scar,lenticels,twig_hairs,riparian_or_upland,associate_trees,competition,other_competition,last_photo,notes,hybrid_visibility,Column 67,IGNORE-1,Ignore-2,ignore-3,ignore-4,ignore-5,ignore-6,ignore-7,ignore-8,Column 77,hickory,dogwood,black walnut,white pine,red cedar,white cedar,malus,buckthorn,ash,elm,mulberry,basswood,sumac,honeysuckle,elderberry,prunus,lilac,boxelder,maple,hackberry,butternut,oak,poplar,hazelnut,beech,gooseberry,spruce,birch
50,,6.936303059,,,,,,,0.7954545455,,,2.344672657,,,,,,,0.9538461538,,,,,,,33.22718558,,,0.5151515152,,,,,,,44.77261351,,44.88337,-73.327,5,NE,11,Adult,10.4,Intermediate,Alive,,,,,,,,No,65,N,N,Y,Yes,45,,50,60,3,2.5,,,,,,,,,,,,,,,,,,,NA,0,0,1,upland,"red cedar, bitternut hickory ",None apparent,,2582,collected by Emma,Y,,red cedar,hickory,,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
53,,,,,,,,,,,,1.741935484,,,,,,,,,,4.575177305,,,,48.78172658,,,,,,,,,,55.09883937,,44.88345,-73.3272,1,E,14,Adult,5.6,Suppressed,Alive,,,,,,,,No,95,N,N,Y,Yes,25,,10,30,1.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, butternut, malus",None apparent,,2603,collected by Emma,N,,red cedar,butternut,malus,,,,,,,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
57,2.817143438,,1.5,,,,,,,,,,6.336225547,,,,,,,,,,,,,23.99258617,,,2.871165644,5.357117117,,,38.03147543,,,80.90571334,,44.88291,-73.3311,0,,47,Adult,35.7,Co-dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,60,50,40,55,2.5,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"white cedar, elderberry, dogwood, butternut, red cedar, ash, shagbark hickory, elm ",Other,white cedar,1849,collected by Catherine,N,,white cedar,elderberry,dogwood,butternut,red cedar,ash,hickory,elm,,1,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
60,6.777777778,,,,,,,,,,,3.195791805,,,,,,,,,,8.699055862,,,,63.91595285,,,,,,,10.32677647,,,92.91535477,,44.8837,-73.3311,1,N,29,Adult,16.6,Co-dominant,Alive,,,,,,,,Unknown (unable to see),10,Y,N,Y,Yes,80,85,75,80,4,3.5,,,,,,,,,,,,,,,,,,,NA,Unsure,0,0,upland,"red cedar, ash, buckthorn, dogwood ",None apparent,,4279,collected by Kylie,Y,,red cedar,ash,buckthorn,dogwood,,,,,,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
61,,,10.54601354,,1.289855072,,,,,,,,11.37643483,,,,,,,,,,,,,40.01669484,,,,,,,,,,63.22899828,,44.88587,-73.3286,0,,42,Adult,29.5,Co-dominant,Alive,,,,,,,,Unknown (unable to see),95,N,N,Y,Yes,50,25,15,20,2.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"Ash, butternut, dogwood, red cedar, buckthorn, sumac",None apparent,,3885,collected by Kylie,N,,ash,butternut,dogwood,red cedar,buckthorn,sumac,,,,0,1,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
64,,10.31857773,21.15802061,,,,,3.015662258,,,,,6.128301725,1.916932907,,,,,,,,,,,,73.47204056,,,,,4.399205033,,11.56385768,,,131.9725985,,44.88456,-73.3277,0,,42,Adult,35.5,Dominant,Alive,,,,,,,,Unknown (unable to see),85,N,N,Y,Yes,70,65,45,85,3.5,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"sugar maple, ash, red cedar ",None apparent,,3470,collected by Catherine,N,,maple,ash,red cedar,,,,,,,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
68,,1.830985915,3.4125,,,,,,,,,1.907189542,,0.768115942,,,,,,,,1.96,,,,93.39244921,,,,,,,,,,103.2712406,,44.88471,-73.3271,0,,43,Adult,37.7,Dominant,Alive,,,,,,,,Unknown (unable to see),95,N,N,Y,Yes,10,5,5,10,1.5,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, red cedar, mulberry, elm, oak, ash, maple",None apparent,,3432,collected by kylie,N,,butternut,red cedar,mulberry,elm,oak,ash,maple,,,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0
71,,4.762718447,14.80744291,,,,,1.18,1.632231405,9.153209031,,1.25,11.31649981,,,6.103542234,,,,,,3.765281174,,,,39.55728769,,,0.6144578313,,1.641468683,11.52935556,7.148999759,,,114.4624945,,44.88492,-73.3271,0,,47,Adult,19,Co-dominant,Alive,,,,,,,,No,100,N,N,Y,Yes,15,20,10,65,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"elm, black walnut, ash, butternut, white cedar",None apparent,,1465,collected by emma,N,,elm,black walnut,ash,butternut,white cedar,,,,,0,0,1,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72,,11.18575851,65.86663776,25.59092443,,,,,,,,,1.298969072,,,,,,,,,,,,,43.48823193,,,14.01128676,,30.59919281,,2.363636364,,,194.4046376,,44.88339,-73.3261,2,E,52,Adult,36.8,Co-dominant,Alive,,,,,,,,Unknown (unable to see),55,N,N,Y,Yes,85,60,60,90,3.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"maple, basswood, red cedar, white cedar, hickory ",None apparent,,3277,"hard to see crown due to maple canopy, collected by kylie ",N,,maple,basswood,red cedar,white cedar,hickory,,,,,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
78,,6.291761641,21.07738393,,,,,,,,,,,,,,,,,,,6.060198356,,,,61.80290162,,,,,0.7285714286,,49.45290602,,,145.413723,,44.88389,-73.3299,0,,45,Adult,28.9,Co-dominant,Alive,,,,,,,,Yes,80,Y,N,Y,Yes,15,35,40,80,4,4,,,,,,,,,,,,,,,,,Lots - greater than 50,5 or fewer,NA,0,0,0,upland,"ash, butternut, red cedar, white cedar, honeysuckle",Other,Red cedar,245,,Y,,,,,,,,,,,0,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
88,,,2.214734182,,,,,0.5465587045,2.07115629,,,,,,,,,,1.177370031,,,,,,,32.77519565,,,1.160714286,,,,4.628846875,,,44.57457602,,44.88443,-73.3274,0,,50,Adult,43.3,Dominant,Alive,,,,,,,,Unknown (unable to see),50,N,Y,Y,Yes,70,35,25,70,3,3.5,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, ash, red cedar, white cedar",None apparent,,3422,collected by kylie,N,,butternut,ash,red cedar,white cedar,,,,,,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
91,,3.254024614,2.484326344,6.90376569,,,13.00457628,4.245138461,,,,,,0.8056872038,,,,,,,,,,,,157.5694616,,,,,,,,,,188.2669802,,44.88425,-73.3276,0,,35,Adult,35.4,Dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,20,55,35,85,3,1,,,,,,,,,,,,,,,,,,,,,,,upland,"ash, elm, basswood, red cedar ",None apparent,,3542,collected by catherine,N,,ash,elm,basswood,red cedar,,,,,,0,0,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
92,,13.11867806,76.21738596,,,,,,,,,6.610717931,,,,,,,,,,22.99301075,,,3.066470588,99.20446275,,,3.82996633,,,,9.560840658,,,234.601533,,44.88438,-73.3277,0,,47,Adult,33.5,Dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,10,55,40,50,3.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, elm, prunus spp, shagbark hickory, butternut",None apparent,,3563,collected by catherine,N,,red cedar,elm,prunus,hickory,butternut,,,,,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
93,,11.52640543,19.61393702,,,,,,,,,0.9428571429,2.996742671,,,,,,,,,,,,,100.8284756,,,,,,,,,,135.9084178,,44.88429,-73.3279,0,,35,Adult,16.9,Co-dominant,Alive,,,,,,,,Unknown (unable to see),85,N,N,Y,Yes,25,20,40,65,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"buckthorn, red cedar, elm, ash, butternut",None apparent,,3531,collected by catherine,N,,buckthorn,red cedar,elm,ash,butternut,,,,,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
96,,16.71943683,2.321083172,,,,,,,,,,9.376111291,2.296450939,,,,,,,,,,,,116.812272,,,,,,,3.826912018,,,151.3522662,,44.88438,-73.3281,0,,41,Adult,43,Co-dominant,Alive,,,,,,,,Unknown (unable to see),100,N,N,Y,Yes,15,40,35,40,3.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"shagbark hickory, red cedar, butternut",None apparent,,3506,collected by catherine,N,,hickory,red cedar,butternut,,,,,,,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
100,,,32.75963084,18.36016957,,,,,8.204081633,,,,5.451612903,3.09280303,,,,,,19.50622668,,,,,,15.83973351,,,,,7.209677419,,11.43490359,,,121.8588392,,44.88319,-73.3265,1,E,64,Adult,47.5,Co-dominant,Alive,,,,,,,,Unknown (unable to see),95,N,N,Y,Yes,15,2,1,8,1.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, ash, maple, basswood, red cedar, white cedar ",None apparent,,3305,collected by kylie,N,,butternut,ash,maple,basswood,red cedar,white cedar,,,,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
101,,,3.519334049,43.00179813,,,,,,,,,,,,,,,,2.026077098,,,,,,22.48294621,,,0.6296296296,,8.931720671,,,,,80.59150579,,44.88375,-73.3266,3,SE,36,Adult,17.5,Intermediate,Alive,,,,,,,,Unknown (unable to see),85,N,N,Y,Yes,35,30,30,35,3,1.5,,,,,,,,,,,,,,,,,,,,,,,upland,"shagbark hickory, sugar maple, basswood, white cedar, red cedar ",None apparent,,2749,collected by catherine,N,,hickory,maple,basswood,white cedar,red cedar,,,,,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
104,,5.000396675,12.04020453,9.542876382,,,1.75492348,1.607717042,,,,2.119090846,15.82670047,1.466030989,,,,,,,,3.79965769,,,,33.05112153,,,,,16.35439258,,10.86195245,,,113.4250647,,44.88431,-73.3266,2,SE,45,Adult,33,Co-dominant,Alive,,,,,,,,Not fruiting season,90,N,N,Y,Yes,90,55,35,50,3,1,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, sugar maple, red cedar, white cedar, ash, basswood, elm",None apparent,,1580,collected by emma ,N,,butternut,maple,red cedar,white cedar,ash,basswood,elm,,,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
109,,13.82625494,12.9950177,,,,,,,,,,10.02327935,,,,,,,,7.006474146,8.269346025,1.146341463,,,51.35540463,,,,,1.172043011,,3.35,,,109.1441613,,44.88446,-73.3265,2,SE,44,Adult,22.2,Co-dominant,Alive,,,,,,,,Not fruiting season,95,N,N,Y,Yes,0,1,0.5,3,1,1,,,,,,,,,,,,,,,,,,,,,,,upland,"red cedar, butternut, dogwood, maple, elm, ash",None apparent,,1538,collected by emma,N,,red cedar,butternut,dogwood,maple,elm,ash,,,,0,1,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
123,,13.17641835,81.21890257,,,1.814720812,,11.5921829,,,,,2.057877814,9.727272727,,,,12.33695652,,,,,,,,29.2194963,,,,,11.38473167,,13.34001879,,,185.8685784,,44.88483,-73.3261,0,,40,Adult,27.5,Co-dominant,Alive,,,,,,,,Unknown (unable to see),75,N,N,Y,Yes,35,80,50,95,4.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"sugar maple, ash, elm, white pine",None apparent,,3839,collected by catherine,N,,maple,ash,elm,white pine,,,,,,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
124,,,101.0685771,14.80451988,,,,,,,,,,1.824561404,,,,,,9.385116389,,,,,,52.31403519,,,7.623746205,,6.252319109,,8.743205373,,,202.0160807,,44.88351,-73.3262,1,E,39,Adult,12.5,Co-dominant,Alive,,,,,,,,Unknown (unable to see),85,N,Y,Y,Yes,15,20,25,25,2.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, ash, maple, basswood, red cedar, white cedar, hickory ",None apparent,,3315,collected by catherine,N,,butternut,ash,maple,basswood,red cedar,white cedar,hickory,,,1,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
125,,18.76513587,3.417525773,,,,,,,,,,,4.0625,,,,,,,,,,,,101.2202388,,,,,17.36292468,,26.63698788,,,171.465313,,44.88241,-73.3281,1,E,38,Adult,33,Co-dominant,Alive,,,,,,,,No,15,Y,Y,Y,Yes,35,80,75,85,3.5,4,,,,,,,,,,,,,,,,,,,,,,,upland,"white cedar, maple, bitternut hickory, eastern red cedar, elm",None apparent,,1623,collected by emma,N,,white cedar,maple,hickory,red cedar,elm,,,,,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
126,9.6,9.319936989,25.93639671,,,,16.27026412,,,,,2.513979497,,5.39320772,,,,,,,,12.8556152,,,,22.00090868,,,,,,,13.62290618,,,117.5132151,,44.88257,-73.328,2,E,42,Adult,37.4,Co-dominant,Alive,,,,,,,,No,0,N,Y,Y,Yes,75,,95,95,5,5,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"sugar maple, bitternut hickory, white cedar, red cedar, ash",None apparent,,1636,collected by emma,Y,,maple,hickory,white cedar,red cedar,ash,,,,,1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
127,1.579195857,10.29509284,9.547745667,,,,3.908653846,,,,,0.8208955224,3.804347826,,,,,,,,,5.115728716,,,,40.55177288,,,7.335923057,,2.859068627,,,,,85.81842484,,44.88263,-73.3283,1,E,35,Adult,33.2,Co-dominant,Alive,,,,,,,,No,60,N,N,Y,Yes,90,70,60,90,4,2,,,,,,,,,,,,,,,,,,,,,,,upland,"butternut, white cedar, sugar maple, ash",None apparent,,1644,collected by catherine,N,,butternut,white cedar,maple,ash,,,,,,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
130,,1.947368421,,,,,5.093514329,,,,1.53125,8.785425762,,,,,,,,,,1.903614458,,,,30.30533391,,1.068181818,,,,,,,,50.63468869,,44.88272,-73.329,0,,24,Adult,20.2,Intermediate,Alive,,,,,,,,Yes,15,N,Y,Y,Yes,35,65,60,95,4,3,,,,,,,,,,,,,,,,,Few - less than 50 seeds on the tree,5 or fewer,,,,,upland,"red cedar, bitternut hickory, honeysuckle, buckthorn, ash",Vines on the tree,,1726,collected by kylie,N,,red cedar,hickory,honeysuckle,buckthorn,ash,,,,,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
157,,,,,,,,,,,,,1.364485981,,,,,,,,,,,,,30.64273356,,,,,,,,,,32.00721955,,44.88371,-73.3272,2,NE,5,Adult,13,Suppressed,Alive,,,,,,,,No,95,N,N,Y,Yes,5,,5,20,1,1,,,,,,,,,,,,,,,,,,,NA,0,0,0,upland,"red cedar, dogwood, butternut",None apparent,,2672,collected by catherine,Y,,red cedar,dogwood,butternut,,,,,,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
169,,1.028571429,1.16091954,,,,,,,,,4.344720497,,,,,,,,,,,,,,57.02207676,,,1.935483871,,0.5483870968,,,,,66.0401592,,44.88303,-73.3271,0,,24,Adult,18.3,Dominant,Alive,,,,,,,,Unknown (unable to see),10,N,N,Y,Yes,40,25,25,36,2.5,1,,,,,,,,,,,,,,,,,,,,,,,upland,"ash, butternut, elm, red cedar, hickory, maple",None apparent,,3336,collected by kylie,N,,ash,butternut,elm,red cedar,hickory,maple,,,,1,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0
175,,11.09639822,25.61501446,41.64790291,,,,,6.37037037,,3.527111544,,,,,,,,,,,,,,,,,,,,,3.475609756,,,,91.73240726,,44.88634,-73.3292,0,,49,Adult,32.9,Co-dominant,Alive,,,,,,,,Unknown (unable to see),30,N,Y,Y,Yes,45,20,25,35,2.5,5,,,,,,,,,,,,,,,,,,,,,,,upland,"Basswood, ash, elm, cherry, bitternut hickory, birch",None apparent,,3943,"The epicormic from the trunk is dead, and the main trunk splits low. collected by Kylie",N,,basswood,ash,elm,prunus,hickory,birch,,,,1,0,0,0,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
182,,19.17427745,0.7808219178,4.762195122,,,,,,,,0.7317073171,,,,,,,,,,,,,,56.65835028,,,,,40.1082102,,7.154447581,,,129.3700099,,44.88276,-73.3271,4,N,38,Adult,31.6,Co-dominant,Alive,,,,,,,,Unknown (unable to see),75,N,N,Y,Yes,45,85,70,95,4.5,2,,,,,,,,,,,,,,,,,,,,,,,upland,"elm, red cedar, maple, ash, basswood, white cedar",None apparent,,3344,collected by kylie,N,,elm,red cedar,maple,ash,basswood,white cedar,,,,0,0,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
